X,Y,shop,name,addr:housenumber,addr:street,addr:postcode,addr:city,website,addr:state,phone,opening_hours,wheelchair,brand,brand:wikidata,brand:wikipedia,operator,addr:unit,internet_access,clothes,contact:phone,contact:website,amenity,atm,addr:country,addr:suite
-84.367795,33.7801350975452,accessories,Richard's Variety Shop,,,,,,,,,yes,,,,,,,,,,,,,
-84.3496289,33.7651989975452,African Imports,Cultural Accents,,,,,,,,,,,,,,,,,,,,,,
-84.358365,33.7404562975452,alcohol,3 Parks,880,Glenwood Ave SE,,,http://www.3parkswine.com/,,,,,,,,,,,,,,,,,
-84.4137971,33.8091964975452,alcohol,Capital City Liquor Store,784,Collier Road NW,30318,,,,,,,,,,,,,,,,,,,
-84.3628805,33.7735268975452,alcohol,Green's Package Store,,,,,,,,,,,,,,,,,,,,,,
-84.3638915,33.7570990975452,alcohol,Hop City,,,,,,,,,,,,,,,,,,,,,,
-84.4106503,33.7790367975452,alcohol,Hop City,,,,,,,,,,,,,,,,,,,,,,
-84.349437,33.7665589975452,alcohol,Little 5 Points Package,,,,,,,,,,,,,,,,,,,,,,
-84.387766,33.7808316975452,alcohol,Mac's Beer and Wine,,,,,,,,"Mo-We 10:00-22:00, Th 10:00-23:40, Fr,Sa 09:00-23:40, Su 12:30-20:00",yes,,,,,,,,,,,,,
-84.4074537,33.7917765975452,alcohol,Northside Package,,,,,,,,,,,,,,,,,,,,,,
-84.4120591,33.7852275975452,alcohol,Perrine's Wine Shop,,,,,,,,,,,,,,,,,,,,,,
-84.3388373,33.8044810975452,alcohol,Pitch 'n Putt,,,,,,,,,,,,,,,,,,,,,,
-84.3812095,33.8615952975452,alcohol,Savi Provisions,3906,Roswell Road,30342,,,,(404) 523-2300,,,,,,,,wlan,,,,,,,
-84.349527,33.7472964975452,alcohol,,,,,,,,,,,,,,,,,,,,,,,
-84.3528263,33.7926253975452,bakery,Alon's ,,,,,,,,,,,,,,,,,,,,,,
-84.3878388,33.7618180975452,bakery,Corner Bakery Cafe,270,Peachtree Street Northeast,30303,,https://www.cornerbakerycafe.com/location/southern-building,,,"Mo-Fr 07:00-16:00; Sa 08:00-15:00",,,,,,,wlan,,+1 404 2159000,,,,,
-84.3465067,33.7400361975452,bakery,Emerald City Bagels,1257,Glenwood Avenue Southeast,30316,Atlanta,,,,,,,,,,A,,,,,,,,
-84.3499827,33.7339127975452,bakery,Endulge Cupcake Boutique,749,Moreland Avenue Southeast,30316,Atlanta,,GA,,,,,,,,,,,,,,,,
-84.3657219,33.7611561975452,bakery,Highland Bakery,,,,,,,,,,,,,,,,,,,,,,
-84.3798093,33.7556461975452,bakery,Sweet Auburn Bread,,,,,,,,,,,,,,,,,,,,,,
-84.3920106,33.7527059975452,beauty,77 Nail Spa,77,Peachtree Street Southwest,30303,Atlanta,,GA,404-331-7777,,,,,,,,,,,,,,,
-84.3678844,33.7738758975452,beauty,Angel Nails,,,,,,,,,,,,,,,,,,,,,,
-84.3916542,33.7529490975452,beauty,City Nails,65,Peachtree Street Southwest,30303,Atlanta,,GA,404-223-0400,,,,,,,,,,,,,,,
-84.3915442,33.7526033975452,beauty,C & S Beauty Supply,70,Peachtree Street Southwest,30303,Atlanta,,GA,404-223-6507,,,,,,,,,,,,,,,
-84.3920704,33.7523615975452,beauty,C & S Beauty Supply,87,Peachtree Street Southwest,30303,Atlanta,,GA,,,,,,,,C,,,,,,,,
-84.4662074,33.7765836975452,beauty,Ebony Beauty Supply,2473,Donald Lee Hollowell Pkwy Northwest,30318,Atlanta,http://ebonybeautyatlantaga.com,GA,404-799-7272,,,,,,Ki Lim,,,,,,,,,
-84.383941,33.7801270975452,beauty,James Madison Hair,,Peachtree Street Northeast,30309,Atlanta,,,,,no,,,,,,,,,,,no,,
-84.3231302,33.7515101975452,beauty,Jazmin Spa,,,,,,,,,,,,,,,,,,,,,,
